"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2025","5,656.20","5,661.90","5,818.05","5,473.35","","-0.10%"
"10/01/2025","5,662.04","5,513.15","5,734.28","5,487.67","","2.39%"
"09/01/2025","5,529.96","5,351.44","5,529.96","5,290.46","","3.33%"
"08/01/2025","5,351.73","5,304.04","5,510.69","5,154.83","","0.60%"
"07/01/2025","5,319.92","5,308.01","5,470.81","5,265.94","","0.31%"
"06/01/2025","5,303.24","5,337.40","5,435.42","5,189.59","","-1.18%"
"05/01/2025","5,366.59","5,201.10","5,467.28","5,201.10","","4.00%"
"04/01/2025","5,160.22","5,270.25","5,328.91","4,540.22","","-1.68%"
"03/01/2025","5,248.39","5,469.10","5,568.19","5,218.48","","-3.94%"
"02/01/2025","5,463.54","5,228.61","5,544.12","5,174.01","","3.34%"
"01/01/2025","5,286.87","4,890.54","5,314.29","4,845.89","","8.58%"
"12/01/2024","4,869.28","4,785.15","5,007.70","4,764.38","","1.35%"
"11/01/2024","4,804.40","4,829.48","4,946.48","4,688.68","","-0.48%"
"10/01/2024","4,827.63","5,004.37","5,053.23","4,805.23","","-3.46%"
"09/01/2024","5,000.45","4,955.87","5,071.41","4,732.86","","0.86%"
"08/01/2024","4,957.98","4,867.09","4,980.86","4,473.94","","1.75%"
"07/01/2024","4,872.94","4,924.08","5,051.59","4,767.15","","-0.43%"
"06/01/2024","4,894.02","5,008.10","5,082.07","4,819.56","","-1.80%"
"05/01/2024","4,983.67","4,907.33","5,102.30","4,888.11","","1.27%"
"04/01/2024","4,921.22","5,096.86","5,121.71","4,884.12","","-3.19%"
"03/01/2024","5,083.42","4,888.58","5,103.26","4,874.03","","4.22%"
"02/01/2024","4,877.77","4,641.94","4,898.37","4,619.48","","4.93%"
"01/01/2024","4,648.40","4,528.45","4,674.74","4,380.97","","2.80%"
"12/01/2023","4,521.65","4,393.04","4,593.11","4,393.04","","3.18%"
"11/01/2023","4,382.47","4,069.65","4,392.81","4,049.87","","7.91%"
"10/01/2023","4,061.12","4,181.62","4,234.49","3,993.10","","-2.72%"
"09/01/2023","4,174.66","4,296.31","4,326.90","4,106.48","","-2.85%"
"08/01/2023","4,297.11","4,469.62","4,469.62","4,175.37","","-3.90%"
"07/01/2023","4,471.31","4,401.03","4,491.51","4,197.97","","1.64%"
"06/01/2023","4,399.09","4,222.56","4,410.20","4,222.56","","4.29%"
"05/01/2023","4,218.04","4,353.41","4,412.88","4,210.69","","-3.24%"
"04/01/2023","4,359.31","4,312.99","4,411.67","4,286.21","","1.03%"
"03/01/2023","4,315.05","4,243.38","4,325.34","3,980.94","","1.81%"
"02/01/2023","4,238.38","4,168.81","4,316.17","4,159.01","","1.80%"
"01/01/2023","4,163.45","3,802.51","4,197.47","3,802.51","","9.75%"
"12/01/2022","3,793.62","3,970.68","4,035.15","3,767.26","","-4.32%"
"11/01/2022","3,964.72","3,628.60","3,976.43","3,563.42","","9.60%"
"10/01/2022","3,617.54","3,309.02","3,631.23","3,256.32","","9.02%"
"09/01/2022","3,318.20","3,514.49","3,683.02","3,249.57","","-5.66%"
"08/01/2022","3,517.25","3,705.76","3,819.12","3,517.25","","-5.15%"
"07/01/2022","3,708.10","3,450.62","3,720.16","3,357.06","","7.33%"
"06/01/2022","3,454.86","3,800.10","3,857.27","3,411.83","","-8.82%"
"05/01/2022","3,789.21","3,772.91","3,852.68","3,526.86","","-0.36%"
"04/01/2022","3,802.86","3,906.57","3,969.04","3,675.54","","-2.55%"
"03/01/2022","3,902.52","3,920.03","4,024.89","3,387.00","","-0.55%"
"02/01/2022","3,924.23","4,184.63","4,259.28","3,765.42","","-6.00%"
"01/01/2022","4,174.60","4,303.94","4,395.78","4,035.28","","-3.05%"
"12/01/2021","4,306.07","4,080.85","4,319.69","4,046.69","","5.98%"
"11/01/2021","4,063.06","4,256.93","4,415.23","4,027.43","","-4.41%"
"10/01/2021","4,250.56","4,037.16","4,250.68","3,965.87","","5.00%"
"09/01/2021","4,048.08","4,207.00","4,252.78","4,011.49","","-3.53%"
"08/01/2021","4,196.41","4,095.50","4,242.26","4,082.07","","2.62%"
"07/01/2021","4,089.30","4,068.20","4,128.81","3,904.78","","0.62%"
"06/01/2021","4,064.30","4,044.07","4,165.59","4,044.07","","0.61%"
"05/01/2021","4,039.46","3,979.50","4,075.87","3,857.76","","1.63%"
"04/01/2021","3,974.74","3,922.36","4,040.88","3,922.36","","1.42%"
"03/01/2021","3,919.21","3,658.12","3,929.49","3,656.21","","7.78%"
"02/01/2021","3,636.44","3,492.86","3,742.53","3,492.86","","4.45%"
"01/01/2021","3,481.44","3,565.68","3,657.83","3,473.76","","-2.52%"
"12/01/2020","3,571.59","3,499.28","3,603.17","3,401.14","","2.26%"
"11/01/2020","3,492.54","2,969.37","3,538.52","2,953.92","","18.06%"
"10/01/2020","2,958.21","3,207.17","3,305.77","2,920.87","","-7.37%"
"09/01/2020","3,193.61","3,279.11","3,396.02","3,097.67","","-2.41%"
"08/01/2020","3,272.51","3,177.76","3,377.44","3,173.98","","3.09%"
"07/01/2020","3,174.32","3,239.86","3,451.16","3,174.32","","-1.85%"
"06/01/2020","3,234.07","3,096.15","3,394.90","3,054.11","","6.03%"
"05/01/2020","3,050.20","2,898.89","3,102.96","2,708.07","","4.18%"
"04/01/2020","2,927.93","2,760.54","3,023.83","2,626.10","","5.06%"
"03/01/2020","2,786.90","3,355.33","3,448.24","2,302.84","","-16.30%"
"02/01/2020","3,329.49","3,646.86","3,867.28","3,283.18","","-8.55%"
"01/01/2020","3,640.91","3,754.24","3,813.80","3,639.44","","-2.87%"
"12/01/2019","3,748.47","3,703.76","3,794.93","3,594.80","","1.21%"
"11/01/2019","3,703.58","3,610.22","3,733.45","3,607.68","","2.75%"
"10/01/2019","3,604.41","3,573.08","3,637.94","3,406.44","","0.98%"
"09/01/2019","3,569.45","3,426.24","3,578.04","3,406.55","","4.16%"
"08/01/2019","3,426.76","3,458.01","3,491.16","3,239.20","","-1.16%"
"07/01/2019","3,466.85","3,476.08","3,573.57","3,455.13","","-0.20%"
"06/01/2019","3,473.69","3,274.97","3,496.79","3,248.54","","5.89%"
"05/01/2019","3,280.43","3,505.77","3,511.43","3,258.04","","-6.66%"
"04/01/2019","3,514.62","3,353.67","3,515.15","3,353.67","","4.86%"
"03/01/2019","3,351.71","3,306.59","3,422.34","3,273.68","","1.62%"
"02/01/2019","3,298.26","3,162.46","3,301.02","3,124.62","","4.39%"
"01/01/2019","3,159.43","2,982.80","3,177.10","2,936.76","","5.79%"
"12/01/2018","2,986.53","3,187.33","3,244.98","2,908.70","","-5.88%"
"11/01/2018","3,173.13","3,196.13","3,263.72","3,100.77","","-0.76%"
"10/01/2018","3,197.51","3,399.96","3,425.45","3,090.85","","-5.93%"
"09/01/2018","3,399.20","3,391.82","3,452.41","3,274.40","","0.19%"
"08/01/2018","3,392.90","3,527.82","3,531.61","3,349.14","","-3.76%"
"07/01/2018","3,525.49","3,375.56","3,536.87","3,345.09","","3.83%"
"06/01/2018","3,395.60","3,420.84","3,540.64","3,340.85","","-0.32%"
"05/01/2018","3,406.65","3,532.87","3,596.20","3,391.01","","-3.67%"
"04/01/2018","3,536.52","3,349.02","3,538.17","3,300.50","","5.21%"
"03/01/2018","3,361.50","3,429.96","3,448.63","3,261.86","","-2.25%"
"02/01/2018","3,438.96","3,616.16","3,636.22","3,306.66","","-4.72%"
"01/01/2018","3,609.29","3,506.50","3,687.22","3,469.23","","3.01%"
